event_name,event_data
Borrow,"{""reserve"": ""0xdAC17F958D2ee523a2206206994597C13D831ec7"", ""onBehalfOf"": ""0x2004382AF56c7D4A8753b81D3197d91c168561af"", ""referralCode"": 0, ""user"": ""0x2004382AF56c7D4A8753b81D3197d91c168561af"", ""amount"": 16000000000, ""interestRateMode"": 2, ""borrowRate"": 54800919872323856541819433}"
Burn,"{""owner"": ""0x51C72848c68a965f66FA7a88855F9f7784502a7F"", ""tickLower"": 196550, ""tickUpper"": 196560, ""amount"": 363994140876636946432, ""amount0"": 553994167955, ""amount1"": 3182263498201323932090}"
Collect,"{""owner"": ""0x1f2F10D1C40777AE1Da742455c65828FF36Df387"", ""tickLower"": 197600, ""tickUpper"": 197610, ""recipient"": ""0x1f2F10D1C40777AE1Da742455c65828FF36Df387"", ""amount0"": 550264900940, ""amount1"": 0}"
Flash,"{""sender"": ""0x35584e1803f88756949d526cfF8A93cFed8fdE91"", ""recipient"": ""0x35584e1803f88756949d526cfF8A93cFed8fdE91"", ""amount0"": 413570389, ""amount1"": 0, ""paid0"": 41358, ""paid1"": 0}"
FlashLoan,"{""target"": ""0xADC0A53095A0af87F3aa29FE0715B5c28016364e"", ""asset"": ""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"", ""referralCode"": 0, ""initiator"": ""0xDFf02E29e3eAA53F1a9514AdE7428e9F54C40198"", ""amount"": 51330825224, ""interestRateMode"": 0, ""premium"": 25665413}"
IncreaseObservationCardinalityNext,"{""observationCardinalityNextOld"": 1, ""observationCardinalityNextNew"": 5}"
Initialize,"{""sqrtPriceX96"": 17288783443124378686579400778, ""tick"": -30447}"
IsolationModeTotalDebtUpdated,"{""asset"": ""0x4c9EDD5852cd905f086C759E8383e09bff1E68B3"", ""totalDebt"": 1281563058}"
LiquidationCall,"{""collateralAsset"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""debtAsset"": ""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"", ""user"": ""0xfa811980282dF5f506474A187cfbfF449092e2C1"", ""debtToCover"": 180270657995, ""liquidatedCollateralAmount"": 83399081793277267623, ""liquidator"": ""0xb441Dea845a1a03a3E7AeE81C03662fd9a1b6fDA"", ""receiveAToken"": false}"
Mint,"{""owner"": ""0x1f2F10D1C40777AE1Da742455c65828FF36Df387"", ""tickLower"": 197690, ""tickUpper"": 197700, ""sender"": ""0x1f2F10D1C40777AE1Da742455c65828FF36Df387"", ""amount"": 40818899689718939648, ""amount0"": 564457583906, ""amount1"": 183080592840324891939}"
MintedToTreasury,"{""reserve"": ""0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0"", ""amountMinted"": 70000829144322250}"
Repay,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0xc5B6187Cf3AD809c998e153258c7C34896966a50"", ""repayer"": ""0x893411580e590D62dDBca8a703d61Cc4A8c7b2b9"", ""amount"": 150000000000000000000, ""useATokens"": false}"
ReserveDataUpdated,"{""reserve"": ""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"", ""liquidityRate"": 38657640475277550372502975, ""stableBorrowRate"": 0, ""variableBorrowRate"": 55088276005448425206896482, ""liquidityIndex"": 1085767476708252859538609437, ""variableBorrowIndex"": 1111434716120454302940064924}"
ReserveUsedAsCollateralDisabled,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0x893411580e590D62dDBca8a703d61Cc4A8c7b2b9""}"
ReserveUsedAsCollateralEnabled,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0x893411580e590D62dDBca8a703d61Cc4A8c7b2b9""}"
Supply,"{""reserve"": ""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599"", ""onBehalfOf"": ""0xEaE44e304f0e5eE869fef66C9db97937c4F25e89"", ""referralCode"": 0, ""user"": ""0xEaE44e304f0e5eE869fef66C9db97937c4F25e89"", ""amount"": 158856000}"
Swap,"{""sender"": ""0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf"", ""recipient"": ""0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf"", ""amount0"": -18613092072, ""amount1"": 5997059570049962453, ""sqrtPriceX96"": 1421812308881328621440790748016548, ""liquidity"": 6380209188967642870, ""tick"": 195912}"
UserEModeSet,"{""user"": ""0xc929c880Ba2e1562D10cAeB080Ed91345f603171"", ""categoryId"": 1}"
Withdraw,"{""reserve"": ""0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0"", ""user"": ""0x59E66A007273275cA1bB82cDf60CEbb90E312F9D"", ""to"": ""0x59E66A007273275cA1bB82cDf60CEbb90E312F9D"", ""amount"": 323140511141403676}"
